losses, rewards
5.549073, -20.500000
8.145670, -20.100000
5.566187, -20.500000
4.209486, -20.500000
3.378984, -20.500000
2.833188, -20.900000
2.434280, -20.900000
2.160381, -20.900000
1.923075, -19.900000
1.732485, -20.300000
1.576205, -20.000000
1.449209, -20.600000
1.338529, -20.500000
1.243553, -18.900000
1.161300, -18.200000
1.089302, -17.800000
1.025767, -16.500000
0.969358, -18.000000
0.918881, -18.300000
0.873454, -17.900000
0.832332, -17.700000
0.794967, -17.300000
0.760853, -16.300000
0.729583, -15.400000
0.700791, -14.700000
0.674203, -14.900000
0.649582, -16.100000
0.626708, -16.700000
0.605408, -16.200000
0.585526, -16.500000
0.566925, -16.300000
0.549487, -16.800000
0.533102, -16.900000
0.517676, -16.300000
0.503128, -15.500000
0.489377, -14.400000
0.476361, -15.500000
0.464026, -15.500000
0.452319, -14.800000
0.441195, -14.000000
0.430620, -14.800000
0.420539, -14.200000
0.410927, -14.600000
0.401756, -14.200000
0.392988, -12.500000
0.384599, -13.600000
0.376571, -13.200000
0.368879, -13.900000
0.361495, -13.900000
0.354406, -15.500000
0.347595, -15.000000
0.341043, -14.000000
0.334738, -12.500000
0.328661, -12.100000
0.322804, -12.700000
0.317158, -12.000000
0.311708, -12.300000
0.306447, -12.000000
0.301361, -11.100000
0.296445, -10.300000
0.291689, -11.400000
0.287089, -12.400000
0.282631, -10.000000
0.278313, -8.800000
0.274126, -6.200000
0.270068, -6.600000
0.266128, -8.300000
0.262302, -4.900000
0.258585, -6.200000
0.254979, -5.300000
0.251471, -6.200000
0.248060, -3.800000
0.244741, -0.800000
0.241508, 0.000000
0.238362, 2.700000
0.235296, 3.300000
0.232311, 1.000000
0.229401, 1.600000
0.226560, 4.200000
0.223788, 8.800000
0.221085, 10.700000
0.218445, 6.700000
0.215867, 5.800000
0.213350, 3.700000
0.210888, 6.600000
0.208486, 6.600000
0.206137, 4.500000
0.203841, 6.700000
0.201596, 8.400000
0.199399, 10.200000
0.197251, 10.800000
0.195148, 9.800000
0.193089, 9.200000
0.191075, 11.300000
0.189103, 11.900000
0.187171, 13.300000
0.185277, 15.300000
0.183418, 16.200000
0.181596, 16.600000
