losses, rewards
0.029016, -20.500000
0.020784, -20.600000
0.015734, -20.200000
0.013002, -19.300000
0.011311, -19.200000
0.010154, -18.800000
0.009325, -18.700000
0.008697, -18.200000
0.008220, -17.600000
0.007847, -17.400000
0.007557, -17.100000
0.007322, -16.800000
0.007135, -15.400000
0.006979, -14.900000
0.006842, -15.700000
0.006715, -14.500000
0.006601, -14.700000
0.006490, -15.800000
0.006384, -15.700000
0.006285, -15.400000
0.006193, -14.600000
0.006109, -14.800000
0.006030, -13.700000
0.005956, -13.800000
0.005886, -13.500000
0.005814, -12.300000
0.005745, -12.200000
0.005678, -12.600000
0.005614, -11.800000
0.005550, -12.000000
0.005487, -14.200000
0.005428, -15.600000
0.005373, -14.500000
0.005319, -13.500000
0.005270, -12.200000
0.005226, -14.300000
0.005180, -11.600000
0.005134, -10.200000
0.005088, -11.300000
0.005045, -13.500000
0.005006, -14.800000
0.004970, -14.500000
0.004932, -12.600000
0.004897, -11.300000
0.004858, -9.600000
0.004818, -9.500000
0.004783, -11.600000
0.004746, -8.700000
0.004710, -5.700000
0.004674, -2.700000
0.004637, -5.400000
0.004602, -3.100000
0.004566, -3.300000
0.004530, -1.500000
0.004493, -1.100000
0.004458, -1.600000
0.004426, -6.000000
0.004394, -4.400000
0.004362, -3.500000
0.004332, -2.200000
0.004302, -3.400000
0.004273, -3.300000
0.004244, -1.500000
0.004216, -0.300000
0.004189, -0.200000
0.004161, 3.300000
0.004133, 2.900000
0.004106, 4.100000
0.004079, 2.100000
0.004051, 3.800000
0.004025, 5.300000
0.003999, 6.500000
0.003975, 6.000000
0.003950, 5.800000
0.003925, 6.900000
0.003899, 8.300000
0.003873, 9.500000
0.003848, 6.600000
0.003823, 6.400000
0.003798, 7.900000
0.003773, 10.500000
0.003748, 11.200000
0.003721, 14.000000
0.003695, 13.200000
0.003669, 12.000000
0.003644, 9.700000
0.003620, 7.800000
0.003596, 7.000000
0.003574, 6.800000
0.003551, 8.600000
0.003528, 12.800000
0.003505, 14.500000
0.003482, 13.200000
0.003459, 13.100000
0.003436, 12.200000
0.003415, 13.300000
0.003392, 14.500000
0.003369, 15.900000
0.003348, 15.000000
0.003325, 15.700000
0.003303, 16.800000
0.003281, 15.400000
0.003260, 14.500000
0.003240, 16.000000
0.003219, 15.100000
0.003198, 15.800000
0.003178, 15.500000
0.003158, 16.100000
0.003138, 18.800000
0.003117, 18.400000
0.003096, 18.400000
0.003075, 17.200000
0.003055, 17.000000
0.003035, 17.200000
0.003016, 17.100000
0.002996, 18.300000
0.002977, 17.400000
0.002958, 17.200000
0.002939, 15.800000
0.002921, 15.800000
0.002903, 18.400000
0.002885, 18.800000
0.002867, 18.300000
0.002849, 17.600000
0.002832, 17.600000
0.002815, 17.000000
0.002798, 16.700000
0.002782, 17.000000
0.002765, 17.700000
0.002749, 17.700000
0.002733, 18.600000
0.002717, 19.200000
0.002701, 17.900000
0.002685, 18.400000
0.002669, 18.600000
0.002654, 18.800000
0.002638, 18.200000
0.002623, 18.000000
0.002608, 18.400000
0.002593, 19.500000
0.002578, 18.600000
0.002563, 18.200000
0.002549, 18.200000
0.002536, 17.100000
0.002522, 16.800000
0.002510, 17.400000
0.002497, 16.300000
0.002485, 16.200000
0.002472, 18.500000
0.002460, 18.100000
0.002448, 17.600000
0.002436, 18.800000
0.002424, 18.700000
0.002411, 18.900000
0.002399, 19.000000
0.002387, 18.100000
0.002375, 18.400000
0.002363, 18.700000
0.002351, 18.400000
0.002339, 18.300000
0.002328, 17.900000
0.002316, 17.500000
0.002305, 18.600000
0.002294, 19.200000
0.002283, 17.800000
0.002273, 19.700000
0.002262, 19.300000
0.002251, 18.500000
0.002241, 19.000000
0.002230, 19.300000
0.002219, 20.000000
0.002209, 18.900000
0.002199, 19.000000
0.002188, 19.000000
0.002178, 19.400000
0.002168, 19.700000
0.002158, 19.300000
0.002148, 18.700000
0.002139, 19.100000
0.002129, 18.300000
0.002120, 19.100000
0.002110, 19.200000
0.002101, 18.500000
0.002092, 18.900000
0.002083, 20.200000
0.002074, 19.700000
0.002065, 18.800000
0.002056, 20.100000
0.002047, 19.800000
0.002038, 19.600000
0.002029, 20.100000
0.002021, 20.000000
0.002012, 19.300000
0.002003, 19.400000
0.001995, 18.800000
0.001987, 17.800000
0.001979, 17.300000
0.001971, 18.300000
0.001964, 19.700000
, 
